year,local_gov_code,medical_income_basis,medical_asset_basis,medical_capita_basis,medical_household_basis,medical_limit,elderly_income_basis,elderly_asset_basis,elderly_capita_basis,elderly_household_basis,elderly_limit,care_income_basis,care_asset_basis,care_capita_basis,care_household_basis,care_limit,january,february,march,april,may,june,july,august,september,october,november,december
2021,271004,8.22,0.00,25273,27807,630000,2.90,0.00,8642,9508,190000,2.60,0.00,14612,2509,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,281000,8.81,0.00,34260,23650,630000,3.30,0.00,12450,8590,190000,3.02,0.00,13890,6760,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,292010,8.00,0.00,26400,24600,630000,2.60,0.00,7200,6000,190000,2.40,0.00,16200,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,302015,9.47,0.00,24600,22800,630000,2.35,0.00,7560,5760,190000,2.59,0.00,8760,5160,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,312011,6.10,0.00,20900,22000,630000,2.70,0.00,9200,9000,190000,2.20,0.00,9200,7000,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,322016,7.88,0.00,27600,18960,630000,2.82,0.00,9720,6600,190000,2.27,0.00,9240,4440,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,331007,7.85,0.00,27600,20880,630000,2.60,0.00,8880,6960,190000,2.20,0.00,9360,5280,170000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,341002,7.09,0.00,23882,24978,630000,2.67,0.00,8673,9071,190000,2.01,0.00,7855,5992,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,352039,8.90,0.00,22900,23000,630000,2.60,0.00,6600,6300,190000,3.00,0.00,8200,6000,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,362018,7.70,16.70,28500,18900,630000,3.40,0.00,9900,6800,190000,7.30,2.70,10700,5300,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,372013,9.88,0.00,31700,21700,630000,2.60,0.00,8700,5800,190000,2.16,0.00,9400,4600,170000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,382019,9.40,0.00,23520,21840,630000,3.40,0.00,8040,6960,190000,2.70,0.00,7320,4680,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,392014,9.08,0.00,21600,24000,630000,2.80,0.00,7200,7800,190000,2.76,0.00,8400,6600,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,401307,7.72,0.00,21814,21574,630000,3.12,0.00,8352,8260,190000,3.17,0.00,10139,7875,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,412015,9.90,0.00,25500,33000,630000,2.90,0.00,9000,7000,190000,2.80,0.00,9500,5500,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,422011,8.10,0.00,24800,18400,630000,3.00,0.00,9500,6900,190000,2.30,0.00,8700,4900,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,431001,8.34,0.00,35100,25600,630000,2.27,0.00,9600,7000,190000,2.04,0.00,15400,0,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,442011,8.65,0.00,26500,25700,630000,2.49,0.00,7700,6900,190000,2.50,0.00,8700,5900,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,452017,8.70,0.00,27000,19800,630000,3.00,0.00,9100,6600,190000,2.20,0.00,9100,5000,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,462012,8.00,0.00,21000,23300,630000,2.60,0.00,6200,7100,190000,2.40,0.00,7400,6400,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2021,472018,9.70,0.00,18200,25400,630000,1.59,0.00,3300,5300,190000,1.56,0.00,7700,4600,170000,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
